"Description","Gene.Name","HIF1A","NFKB1","PPARD","STAT1","IRF3","STAT5A","IRF5","PPARG","KDM6B","KLF4","MYC","IRF4","STAT6","IFNB1","RELA","JUN","SOCS3","SOCS1"
"The gene has been identified as a high probability direct target of the trans-repressor complex DREAM. The complex is known to repress cell cycle genes during G0 and G1 phases as well as in response to p53 signaling.","DREAM target","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"The gene has been identified as a high probability direct target of the trans-activator complex MMB:FOXM1. The complex is known to activate cell cycle genes during G2 and M phases.","MMB:FOXM1 target","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"The gene has been identified as a high probability direct target of the trans-repressor complex RB:E2F. The complex is known to repress cell cycle genes during G0 and G1 phases as well as in response to p53 signaling.","RB:E2F target","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"Summary of 16 deltaNp63 gene expression profiling datasets. Reflects the number of datasets that identify a gene as significantly up-regulated minus the number of datasets that identify the gene as significantly down-regulated. Range -12 to +14.","ΔNp63 Expression Score (-12 to 14)","6","6","4","1","3","-1","4","-3","-1","1","6","0","0","1","3","-5","0","2"
"The gene has been identified as a high probability direct target of the p53 sibling and oncogenic transcription factor deltaNp63.","ΔNp63 target","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"The gene has been identified as a potential direct target of the p53 sibling and oncogenic transcription factor deltaNp63.","potential ΔNp63 target","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no"
"UniProt / SwissProt ID","UniProtKB ID","-","P19838","-","P42224","Q14653","-","-","-","-","-","P01106","-","P42226","-","Q04206","P05412","-","-"
"Summary of the five p53 protein expression profiling datasets. Reflects the number of datasets that identify a protein as significantly up-regulated minus the number of datasets that identify the protein as significantly down-regulated. Range -5 to +5.","p53 Expression Score Protein (-5 to 5)","-","0","-","0","1","-","-","-","-","-","0","-","4","-","0","1","-","-"
"The median log2 fold-change observed in the five p53 protein expression profiling datasets.","p53 median log2FC (protein)","-","-0.02","-","0.03","0.27","-","-","-","-","-","0.08","-","0.32","-","-0.07","0.20","-","-"
"Mouse Ensembl Gene ID","Mouse Ensembl ID","ENSMUSG00000021109","ENSMUSG00000028163","ENSMUSG00000002250","ENSMUSG00000026104","ENSMUSG00000003184","ENSMUSG00000004043","ENSMUSG00000029771","ENSMUSG00000000440","ENSMUSG00000018476","ENSMUSG00000003032","ENSMUSG00000022346","ENSMUSG00000021356","ENSMUSG00000002147","ENSMUSG00000048806","ENSMUSG00000024927","ENSMUSG00000052684","ENSMUSG00000053113","ENSMUSG00000038037"
"Location of the gene in the mouse mm10 genome linked to the UCSC genome browser. The UCSC link contains p53 binding information (ChIP-seq tracks) and a summary thereof (peak-of-peak denotes the summary of peaks identified in the ChIP-seq datasets)","Mouse Genomic Position","chr12:73901375-73947530","chr3:135584655-135691547","chr17:28232700-28301474","chr1:52119440-52161865","chr7:44997648-45002848","chr11:100859351-100885169","chr6:29526625-29541871","chr6:115360951-115490399","chr11:69398508-69413675","chr4:55527143-55532466","chr15:61985391-61990374","chr13:30749226-30766976","chr10:127642986-127660957","chr4:88522025-88522774","chr19:5637483-5648130","chr4:95049034-95052222","chr11:117966079-117970047","chr16:10782240-10785536"
"Mouse Gene Symbol","Mouse Gene Name","Hif1a","Nfkb1","Ppard","Stat1","Irf3","Stat5a","Irf5","Pparg","Kdm6b","Klf4","Myc","Irf4","Stat6","Ifnb1","Rela","Jun","Socs3","Socs1"
"Summary of the 15 p53 gene expression profiling datasets from mouse. Reflects the number of datasets that identify a gene as significantly up-regulated minus the number of datasets that identify the gene as significantly down-regulated. Range -13 to +15.","Mouse p53 Expression Score (-13 to 15)","-3","0","9","0","1","-2","5","-1","1","2","-6","1","-1","0","2","4","1","3"
"The gene has been identified as a high probability direct target of mouse p53.","Mouse p53 target","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
