"ensembl_gene_id" "hgnc_symbol" "chromosome_name" "start_position" "end_position" "strand" "length"
"159" "ENSG00000084636" "COL16A1" "1" 31652263 31704319 -1 52056
"160" "ENSG00000084652" "TXLNA" "1" 32179675 32198285 1 18610
"161" "ENSG00000085433" "WDR47" "1" 108970214 109042113 -1 71899
"162" "ENSG00000085465" "OVGP1" "1" 111414319 111427735 -1 13416
"163" "ENSG00000085491" "SLC25A24" "1" 108134043 108200849 -1 66806
"164" "ENSG00000085552" "IGSF9" "1" 159927039 159945613 -1 18574
"165" "ENSG00000085831" "TTC39A" "1" 51287258 51345116 -1 57858
"166" "ENSG00000085832" "EPS15" "1" 51354263 51519266 -1 165003
"167" "ENSG00000085840" "ORC1" "1" 52372829 52404423 -1 31594
"168" "ENSG00000085998" "POMGNT1" "1" 46188683 46220305 -1 31622
"169" "ENSG00000085999" "RAD54L" "1" 46246461 46278480 1 32019
"170" "ENSG00000086015" "MAST2" "1" 45786987 46036122 1 249135
"171" "ENSG00000088035" "ALG6" "1" 63367575 63438553 1 70978
"172" "ENSG00000088280" "ASAP3" "1" 23428563 23484568 -1 56005
"173" "ENSG00000090020" "SLC9A1" "1" 27098809 27166981 -1 68172
"174" "ENSG00000090104" "RGS1" "1" 192575763 192580024 1 4261
"175" "ENSG00000090273" "NUDC" "1" 26900238 26946871 1 46633
"176" "ENSG00000090432" "MUL1" "1" 20499448 20508151 -1 8703
"177" "ENSG00000090621" "PABPC4" "1" 39560709 39576790 -1 16081
"178" "ENSG00000090686" "USP48" "1" 21678298 21783606 -1 105308
"179" "ENSG00000092607" "TBX15" "1" 118883046 118989556 -1 106510
"180" "ENSG00000092621" "PHGDH" "1" 119648411 119744218 1 95807
"181" "ENSG00000092847" "AGO1" "1" 35869808 35930532 1 60724
"182" "ENSG00000092850" "TEKT2" "1" 36084094 36088275 1 4181
"183" "ENSG00000092853" "CLSPN" "1" 35720218 35769978 -1 49760
"184" "ENSG00000092969" "TGFB2" "1" 218345336 218444619 1 99283
"185" "ENSG00000092978" "GPATCH2" "1" 217426992 217631090 -1 204098
"186" "ENSG00000094963" "FMO2" "1" 171185249 171212686 1 27437
"187" "ENSG00000094975" "SUCO" "1" 172532349 172611833 1 79484
"188" "ENSG00000097021" "ACOT7" "1" 6264269 6393767 -1 129498
"189" "ENSG00000097033" "SH3GLB1" "1" 86704570 86748184 1 43614
"190" "ENSG00000097046" "CDC7" "1" 91500851 91525764 1 24913
"191" "ENSG00000097096" "SYDE2" "1" 85156889 85201016 -1 44127
"192" "ENSG00000099260" "PALMD" "1" 99646113 99694541 1 48428
"193" "ENSG00000107404" "DVL1" "1" 1335276 1349418 -1 14142
"194" "ENSG00000116128" "BCL9" "1" 147541501 147626216 1 84715
"195" "ENSG00000116132" "PRRX1" "1" 170662728 170739421 1 76693
"196" "ENSG00000116133" "DHCR24" "1" 54849627 54887195 -1 37568
"197" "ENSG00000116138" "DNAJC16" "1" 15526813 15592379 1 65566
"198" "ENSG00000116141" "MARK1" "1" 220528136 220664461 1 136325
"199" "ENSG00000116147" "TNR" "1" 175315194 175743616 -1 428422
"200" "ENSG00000116151" "MORN1" "1" 2321253 2391707 -1 70454
"201" "ENSG00000116157" "GPX7" "1" 52602371 52609051 1 6680
"202" "ENSG00000116161" "CACYBP" "1" 174999163 175012027 1 12864
"203" "ENSG00000116171" "SCP2" "1" 52927276 53051698 1 124422
"204" "ENSG00000116183" "PAPPA2" "1" 176463171 176845601 1 382430
"205" "ENSG00000116191" "RALGPS2" "1" 178725165 178921842 1 196677
"206" "ENSG00000116194" "ANGPTL1" "1" 178849535 178871077 -1 21542
"207" "ENSG00000116198" "CEP104" "1" 3812086 3857396 -1 45310
"208" "ENSG00000116199" "FAM20B" "1" 179025804 179076567 1 50763
"209" "ENSG00000116205" "TCEANC2" "1" 54053584 54112519 1 58935
"210" "ENSG00000116209" "TMEM59" "1" 54026681 54053504 -1 26823
"211" "ENSG00000116212" "LRRC42" "1" 53946085 53968168 1 22083
"212" "ENSG00000116213" "WRAP73" "1" 3630767 3652761 -1 21994
"213" "ENSG00000116218" "NPHS2" "1" 179550539 179575952 -1 25413
"214" "ENSG00000116221" "MRPL37" "1" 54184041 54225464 1 41423
"215" "ENSG00000116237" "ICMT" "1" 6221193 6235972 -1 14779
"216" "ENSG00000116251" "RPL22" "1" 6185020 6209389 -1 24369
"217" "ENSG00000116254" "CHD5" "1" 6101787 6180321 -1 78534
"218" "ENSG00000116260" "QSOX1" "1" 180154869 180204030 1 49161
"219" "ENSG00000116266" "STXBP3" "1" 108746674 108809523 1 62849
"220" "ENSG00000116273" "PHF13" "1" 6613731 6624030 1 10299
"221" "ENSG00000116285" "ERRFI1" "1" 8004404 8026309 -1 21905
"222" "ENSG00000116288" "PARK7" "1" 7954291 7985505 1 31214
"223" "ENSG00000116299" "ELAPOR1" "1" 109113679 109206781 1 93102
"224" "ENSG00000116329" "OPRD1" "1" 28812170 28871267 1 59097
"225" "ENSG00000116337" "AMPD2" "1" 109616104 109632051 1 15947
"226" "ENSG00000116350" "SRSF4" "1" 29147743 29181900 -1 34157
"227" "ENSG00000116353" "MECR" "1" 29192657 29230942 -1 38285
"228" "ENSG00000116396" "KCNC4" "1" 110210314 110283100 1 72786
"229" "ENSG00000116406" "EDEM3" "1" 184690237 184754907 -1 64670
"230" "ENSG00000116455" "WDR77" "1" 111439890 111449256 -1 9366
"231" "ENSG00000116459" "ATP5PB" "1" 111448864 111462773 1 13909
"232" "ENSG00000116473" "RAP1A" "1" 111542218 111716691 1 174473
"233" "ENSG00000116478" "HDAC1" "1" 32292083 32333635 1 41552
"234" "ENSG00000116489" "CAPZA1" "1" 112619805 112671616 1 51811
"235" "ENSG00000116497" "S100PBP" "1" 32816767 32858875 1 42108
"236" "ENSG00000116514" "RNF19B" "1" 32936445 32964809 -1 28364
"237" "ENSG00000116521" "SCAMP3" "1" 155255979 155262430 -1 6451
"238" "ENSG00000116525" "TRIM62" "1" 33145399 33182059 -1 36660
"239" "ENSG00000116539" "ASH1L" "1" 155335268 155563162 -1 227894
"240" "ENSG00000116544" "DLGAP3" "1" 34865436 34929650 -1 64214
"241" "ENSG00000116560" "SFPQ" "1" 35176378 35193145 -1 16767
"242" "ENSG00000116580" "GON4L" "1" 155749659 155859400 -1 109741
"243" "ENSG00000116584" "ARHGEF2" "1" 155946851 156007070 -1 60219
"244" "ENSG00000116586" "LAMTOR2" "1" 156054782 156058506 1 3724
"245" "ENSG00000116604" "MEF2D" "1" 156463727 156500779 -1 37052
"246" "ENSG00000116641" "DOCK7" "1" 62454298 62688386 -1 234088
"247" "ENSG00000116649" "SRM" "1" 11054584 11060020 -1 5436
"248" "ENSG00000116652" "DLEU2L" "1" 63547082 63550636 1 3554
"249" "ENSG00000116661" "FBXO2" "1" 11637018 11655785 -1 18767
"250" "ENSG00000116663" "FBXO6" "1" 11664200 11674354 1 10154
"251" "ENSG00000116667" "C1orf21" "1" 184387029 184629019 1 241990
"252" "ENSG00000116668" "SWT1" "1" 185157080 185291781 1 134701
"253" "ENSG00000116670" "MAD2L2" "1" 11674480 11691650 -1 17170
"254" "ENSG00000116675" "DNAJC6" "1" 65248219 65415871 1 167652
"255" "ENSG00000116678" "LEPR" "1" 65420652 65641559 1 220907
"256" "ENSG00000116679" "IVNS1ABP" "1" 185296388 185317273 -1 20885
"257" "ENSG00000116685" "KIAA2013" "1" 11919591 11926428 -1 6837
"258" "ENSG00000116688" "MFN2" "1" 11980181 12015211 1 35030
"259" "ENSG00000116690" "PRG4" "1" 186296279 186314567 1 18288
"260" "ENSG00000116691" "MIIP" "1" 12019466 12032045 1 12579
"261" "ENSG00000116698" "SMG7" "1" 183472216 183598246 1 126030
"262" "ENSG00000116701" "NCF2" "1" 183555562 183590876 -1 35314
"263" "ENSG00000116703" "PDC" "1" 186443566 186461114 -1 17548
"264" "ENSG00000116704" "SLC35D1" "1" 66999350 67054148 -1 54798
"265" "ENSG00000116711" "PLA2G4A" "1" 186828949 186988981 1 160032
"266" "ENSG00000116717" "GADD45A" "1" 67685201 67688334 1 3133
"267" "ENSG00000116721" "PRAMEF1" "1" 12791397 12796628 1 5231
"268" "ENSG00000116726" "PRAMEF12" "1" 12773738 12777906 1 4168
"269" "ENSG00000116729" "WLS" "1" 68098473 68233120 -1 134647
"270" "ENSG00000116731" "PRDM2" "1" 13700188 13825079 1 124891
"271" "ENSG00000116741" "RGS2" "1" 192809039 192812275 1 3236
"272" "ENSG00000116745" "RPE65" "1" 68428822 68449954 -1 21132
"273" "ENSG00000116747" "RO60" "1" 193059454 193091777 1 32323
"274" "ENSG00000116748" "AMPD1" "1" 114673090 114695618 -1 22528
"275" "ENSG00000116750" "UCHL5" "1" 193012250 193060080 -1 47830
"276" "ENSG00000116752" "BCAS2" "1" 114567557 114581629 -1 14072
"277" "ENSG00000116754" "SRSF11" "1" 70205682 70253052 1 47370
"278" "ENSG00000116761" "CTH" "1" 70411218 70439851 1 28633
"279" "ENSG00000116771" "AGMAT" "1" 15571699 15585051 -1 13352
"280" "ENSG00000116774" "OLFML3" "1" 113979391 114035572 1 56181
"281" "ENSG00000116783" "TNNI3K" "1" 74235387 74544428 1 309041
"282" "ENSG00000116785" "CFHR3" "1" 196774813 196795407 1 20594
"283" "ENSG00000116786" "PLEKHM2" "1" 15684320 15734769 1 50449
"284" "ENSG00000116791" "CRYZ" "1" 74705482 74733408 -1 27926
"285" "ENSG00000116793" "PHTF1" "1" 113696831 113759489 -1 62658
"286" "ENSG00000116809" "ZBTB17" "1" 15941869 15976132 -1 34263
"287" "ENSG00000116815" "CD58" "1" 116514534 116571039 -1 56505
"288" "ENSG00000116819" "TFAP2E" "1" 35573314 35595328 1 22014
"289" "ENSG00000116824" "CD2" "1" 116754430 116769229 1 14799
"290" "ENSG00000116830" "TTF2" "1" 117060326 117107453 1 47127
"291" "ENSG00000116833" "NR5A2" "1" 200027614 200177420 1 149806
"292" "ENSG00000116852" "KIF21B" "1" 200969390 201023714 -1 54324
"293" "ENSG00000116857" "TMEM9" "1" 201134772 201171574 -1 36802
"294" "ENSG00000116863" "ADPRS" "1" 36088892 36093932 1 5040
"295" "ENSG00000116871" "MAP7D1" "1" 36155579 36180849 1 25270
"296" "ENSG00000116874" "WARS2" "1" 119031216 119140654 -1 109438
"297" "ENSG00000116882" "HAO2" "1" 119368779 119394130 1 25351
"298" "ENSG00000116885" "OSCP1" "1" 36415827 36450451 -1 34624
"299" "ENSG00000116898" "MRPS15" "1" 36455718 36464384 -1 8666
"300" "ENSG00000116922" "C1orf109" "1" 37681570 37692249 -1 10679
"301" "ENSG00000116954" "RRAGC" "1" 38838198 38859772 -1 21574
"302" "ENSG00000116981" "NT5C1A" "1" 39651229 39672107 -1 20878
"303" "ENSG00000116983" "HPCAL4" "1" 39678648 39691485 -1 12837
"304" "ENSG00000116985" "BMP8B" "1" 39757182 39788865 -1 31683
"305" "ENSG00000116990" "MYCL" "1" 39895426 39902256 -1 6830
"306" "ENSG00000117000" "RLF" "1" 40161387 40240921 1 79534
"307" "ENSG00000117010" "ZNF684" "1" 40531573 40548167 1 16594
"308" "ENSG00000117013" "KCNQ4" "1" 40783787 40840452 1 56665
"309" "ENSG00000117016" "RIMS3" "1" 40620680 40665682 -1 45002
"310" "ENSG00000117036" "ETV3" "1" 157121191 157138474 -1 17283
"311" "ENSG00000117054" "ACADM" "1" 75724431 75787575 1 63144
"312" "ENSG00000117069" "ST6GALNAC5" "1" 76867480 77067546 1 200066
"313" "ENSG00000117090" "SLAMF1" "1" 160608106 160647044 -1 38938
"314" "ENSG00000117091" "CD48" "1" 160678746 160711831 -1 33085
"315" "ENSG00000117114" "ADGRL2" "1" 81306147 81993932 1 687785
"316" "ENSG00000117115" "PADI2" "1" 17066761 17119451 -1 52690
"317" "ENSG00000117118" "SDHB" "1" 17018722 17054032 -1 35310
"318" "ENSG00000117122" "MFAP2" "1" 16974502 16980632 -1 6130
"319" "ENSG00000117133" "RPF1" "1" 84479259 84498352 1 19093
"320" "ENSG00000117139" "KDM5B" "1" 202724495 202808487 -1 83992
"321" "ENSG00000117143" "UAP1" "1" 162561506 162599842 1 38336
"322" "ENSG00000117148" "ACTL8" "1" 17755333 17827063 1 71730
"323" "ENSG00000117151" "CTBS" "1" 84549611 84574480 -1 24869
"324" "ENSG00000117152" "RGS4" "1" 163068775 163076802 1 8027
"325" "ENSG00000117153" "KLHL12" "1" 202891116 202928636 -1 37520
"326" "ENSG00000117154" "IGSF21" "1" 18107798 18378483 1 270685
"327" "ENSG00000117155" "SSX2IP" "1" 84643706 84690803 -1 47097
"328" "ENSG00000117174" "ZNHIT6" "1" 85649417 85708433 -1 59016
"329" "ENSG00000117215" "PLA2G2D" "1" 20111939 20119566 -1 7627
"330" "ENSG00000117222" "RBBP5" "1" 205086142 205122015 -1 35873
"331" "ENSG00000117226" "GBP3" "1" 89006679 89022894 -1 16215
"332" "ENSG00000117228" "GBP1" "1" 89051882 89065360 -1 13478
"333" "ENSG00000117242" "PINK1-AS" "1" 20642657 20652193 -1 9536
"334" "ENSG00000117245" "KIF17" "1" 20664014 20718017 -1 54003
"335" "ENSG00000117262" "GPR89A" "1" 145607988 145670650 1 62662
"336" "ENSG00000117266" "CDK18" "1" 205504596 205532793 1 28197
"337" "ENSG00000117280" "RAB29" "1" 205767986 205775482 -1 7496
"338" "ENSG00000117281" "CD160" "1" 145719471 145739288 1 19817
"339" "ENSG00000117298" "ECE1" "1" 21217247 21345572 -1 128325
"340" "ENSG00000117305" "HMGCL" "1" 23801885 23838620 -1 36735
"341" "ENSG00000117308" "GALE" "1" 23795599 23800781 -1 5182
"342" "ENSG00000117318" "ID3" "1" 23557926 23559501 -1 1575
"343" "ENSG00000117322" "CR2" "1" 207454230 207489895 1 35665
"344" "ENSG00000117335" "CD46" "1" 207752054 207795513 1 43459
"345" "ENSG00000117360" "PRPF3" "1" 150321479 150353233 1 31754
"346" "ENSG00000117362" "APH1A" "1" 150265399 150269580 -1 4181
"347" "ENSG00000117385" "P3H1" "1" 42746335 42767084 -1 20749
"348" "ENSG00000117394" "SLC2A1" "1" 42925353 42958893 -1 33540
"349" "ENSG00000117395" "EBNA1BP2" "1" 43164175 43270936 -1 106761
"350" "ENSG00000117399" "CDC20" "1" 43358981 43363203 1 4222
"351" "ENSG00000117400" "MPL" "1" 43337818 43354466 1 16648
"352" "ENSG00000117407" "ARTN" "1" 43933320 43937240 1 3920
"353" "ENSG00000117408" "IPO13" "1" 43946950 43968022 1 21072
"354" "ENSG00000117410" "ATP6V0B" "1" 43974487 43978295 1 3808
"355" "ENSG00000117411" "B4GALT2" "1" 43978943 43991170 1 12227
"356" "ENSG00000117419" "ERI3" "1" 44221070 44355260 -1 134190
"357" "ENSG00000117425" "PTCH2" "1" 44819844 44843253 -1 23409
"358" "ENSG00000117448" "AKR1A1" "1" 45550543 45570049 1 19506
"359" "ENSG00000117450" "PRDX1" "1" 45510914 45542732 -1 31818
"360" "ENSG00000117461" "PIK3R3" "1" 46040140 46133036 -1 92896
"361" "ENSG00000117472" "TSPAN1" "1" 46175073 46185962 1 10889
"362" "ENSG00000117475" "BLZF1" "1" 169367970 169396540 1 28570
"363" "ENSG00000117477" "CCDC181" "1" 169394870 169460669 -1 65799
"364" "ENSG00000117479" "SLC19A2" "1" 169463909 169485944 -1 22035
"365" "ENSG00000117480" "FAAH" "1" 46394317 46413848 1 19531
"366" "ENSG00000117481" "NSUN4" "1" 46340789 46365152 1 24363
"367" "ENSG00000117500" "TMED5" "1" 93149742 93180516 -1 30774
"368" "ENSG00000117501" "MROH9" "1" 170935526 171064765 1 129239
"369" "ENSG00000117505" "DR1" "1" 93345907 93369493 1 23586
"370" "ENSG00000117507" "FMO6P" "1" 171137740 171161568 1 23828
"371" "ENSG00000117519" "CNN3" "1" 94896949 94927223 -1 30274
"372" "ENSG00000117523" "PRRC2C" "1" 171485530 171593511 1 107981
