"","gene","symbol","name","locus_group","ensembl_id","gene_type","genomic_position_ucsc_link","p53_expression_score_55_to_57","p53_median_log2fc","p53_bound_tss","p53_bound_enhancer","rfx7_target","cell_cycle_expression_score_0_to_9","cell_cycle_gene_category","dream_target","mmb_foxm1_target","rb_e2f_target","d_np63_expression_score_12_to_14","d_np63_target","potential_d_np63_target","uni_prot_kb_id","p53_expression_score_protein_5_to_5","p53_median_log2fc_protein","mouse_ensembl_id","mouse_genomic_position","mouse_gene_name","mouse_p53_expression_score_13_to_15","mouse_p53_target","locus_type","entrez_id"
"12","ISCU","ISCU","iron-sulfur cluster assembly enzyme","protein-coding gene","ENSG00000136003","protein_coding","chr12:108562582-108569368","55","0.99","yes","no","no","3","G2/M","no","no","no","2","no","no","Q9H1K1","4","0.85","-","-","-","-","-","gene with protein product","23479"
"13","FAS","FAS","Fas cell surface death receptor","protein-coding gene","ENSG00000026103","protein_coding","chr10:88990531-89017059","54","2.08","yes","no","no","2","-","no","no","no","7","no","yes","P25445","4","1.80","ENSMUSG00000024778","chr19:34290666-34327772","Fas","14","yes","gene with protein product","355"
"14","PSTPIP2","PSTPIP2","proline-serine-threonine phosphatase interacting protein 2","protein-coding gene","ENSG00000152229","protein_coding","chr18:45983536-46072272","54","1.47","yes","yes","no","2","-","no","no","no","2","no","no","Q9H939","5","0.96","ENSMUSG00000025429","chr18:77789914-77882879","Pstpip2","-1","no","gene with protein product","9050"
"15","DDB2","DDB2","damage specific DNA binding protein 2","protein-coding gene","ENSG00000134574","protein_coding","chr11:47214465-47239217","54","1.28","yes","yes","no","2","-","no","no","no","4","no","yes","Q92466","5","0.67","ENSMUSG00000002109","chr2:91211572-91236982","Ddb2","-2","no","gene with protein product","1643"
"16","NADSYN1","NADSYN1","NAD synthetase 1","protein-coding gene","ENSG00000172890","protein_coding","chr11:71453109-71524107","54","1.15","yes","yes","no","1","-","no","no","no","0","no","no","Q6IA69","4","0.68","ENSMUSG00000031090","chr7:143795584-143822849","Nadsyn1","-2","no","gene with protein product","55191"
"17","GDF15","GDF15","growth differentiation factor 15","protein-coding gene","ENSG00000130513","protein_coding","chr19:18374731-18389176","53","3.17","yes","yes","no","4","G1/S","no","no","no","-6","no","yes","Q99988","3","3.01","ENSMUSG00000038508","chr8:70629393-70632456","Gdf15","9","yes","gene with protein product","9518"
"18","DNAI3","DNAI3","dynein axonemal intermediate chain 3","protein-coding gene","ENSG00000162643","protein_coding","chr1:84999147-85133138","53","3.13","yes","yes","no","1","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000043020","chr3:146040526-146108130","Wdr63","0","no","gene with protein product","126820"
"19","DGKA","DGKA","diacylglycerol kinase alpha","protein-coding gene","ENSG00000065357","protein_coding","chr12:55927319-55954027","53","1.41","yes","yes","no","1","-","no","no","no","7","no","yes","P23743","5","1.37","-","-","-","-","-","gene with protein product","1606"
"20","SUSD6","SUSD6","sushi domain containing 6","protein-coding gene","ENSG00000100647","protein_coding","chr14:69611596-69715144","53","1.35","yes","yes","no","2","-","no","no","no","-5","no","yes","-","-","-","ENSMUSG00000021133","chr12:80790510-80880835","Susd6","8","yes","gene with protein product","9766"
"21","CCDC90B","CCDC90B","coiled-coil domain containing 90B","protein-coding gene","ENSG00000137500","protein_coding","chr11:83259097-83286407","53","0.88","yes","yes","no","3","G2/M","no","no","no","-5","no","yes","Q9GZT6","4","0.47","ENSMUSG00000030613","chr7:92561149-92582294","Ccdc90b","-1","no","gene with protein product","60492"
"22","TP53I3","TP53I3","tumor protein p53 inducible protein 3","protein-coding gene","ENSG00000115129","protein_coding","chr2:24077433-24085861","52","2.74","yes","yes","no","2","-","no","no","no","-4","no","yes","Q53FA7","5","3.12","-","-","-","-","-","gene with protein product","9540"
"23","EPS8L2","EPS8L2","EPS8 signaling adaptor L2","protein-coding gene","ENSG00000177106","protein_coding","chr11:694438-727727","52","1.6","yes","yes","no","1","-","no","no","no","-3","no","yes","Q9H6S3","5","1.30","ENSMUSG00000025504","chr7:141338880-141363020","Eps8l2","4","no","gene with protein product","64787"
"24","RPS27L","RPS27L","ribosomal protein S27 like","protein-coding gene","ENSG00000185088","protein_coding","chr15:63125872-63158021","52","1.24","yes","yes","no","2","-","no","no","no","-10","no","yes","Q71UM5","2","0.14","ENSMUSG00000036781","chr9:66946086-66949516","Rps27l","6","yes","gene with protein product","51065"
"25","FAM210B","MIMS2","mitochondrial inner membrane scaffold 2","protein-coding gene","ENSG00000124098","protein_coding","chr20:56358974-56368663","52","1.06","yes","yes","no","2","-","no","no","no","-4","no","yes","-","-","-","ENSMUSG00000027495","chr2:172345565-172355749","Fam210b","6","no","gene with protein product","116151"
"26","RETSAT","RETSAT","retinol saturase","protein-coding gene","ENSG00000042445","protein_coding","chr2:85341955-85354531","52","0.88","yes","no","no","1","-","no","no","no","0","no","no","Q6NUM9","4","1.01","ENSMUSG00000056666","chr6:72598475-72608425","Retsat","5","no","gene with protein product","54884"
"27","CMBL","CMBL","carboxymethylenebutenolidase homolog","protein-coding gene","ENSG00000164237","protein_coding","chr5:10275875-10307902","51","1.55","yes","yes","no","1","-","no","no","no","-2","no","no","Q96DG6","4","1.37","ENSMUSG00000022235","chr15:31565389-31590119","Cmbl","1","no","gene with protein product","134147"
"28","GADD45A","GADD45A","growth arrest and DNA damage inducible alpha","protein-coding gene","ENSG00000116717","protein_coding","chr1:67685201-67688334","51","1.52","yes","yes","no","4","UNCLEAR","yes","no","no","1","no","no","-","-","-","ENSMUSG00000036390","chr6:67035096-67037457","Gadd45a","0","no","gene with protein product","1647"
"29","RNF19B","RNF19B","ring finger protein 19B","protein-coding gene","ENSG00000116514","protein_coding","chr1:32936445-32964809","51","1.1","yes","no","no","1","-","no","no","no","6","no","yes","-","-","-","ENSMUSG00000028793","chr4:129058271-129085886","Rnf19b","0","no","gene with protein product","127544"
"30","ANXA4","ANXA4","annexin A4","protein-coding gene","ENSG00000196975","protein_coding","chr2:69644425-69827112","51","1","yes","no","no","1","-","no","no","no","0","no","no","P09525","1","1.32","ENSMUSG00000029994","chr6:86736840-86793584","Anxa4","-2","no","gene with protein product","307"
"31","FBXW7","FBXW7","F-box and WD repeat domain containing 7","protein-coding gene","ENSG00000109670","protein_coding","chr4:152320544-152536092","51","0.89","yes","yes","no","1","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000028086","chr3:84815268-84979198","Fbxw7","11","yes","gene with protein product","55294"
"32","PHPT1","PHPT1","phosphohistidine phosphatase 1","protein-coding gene","ENSG00000054148","protein_coding","chr9:136848724-136851027","51","0.74","yes","yes","no","1","-","no","no","no","0","no","no","Q9NRX4","5","0.42","ENSMUSG00000036504","chr2:25573430-25575224","Phpt1","1","no","gene with protein product","29085"
"33","SULF2","SULF2","sulfatase 2","protein-coding gene","ENSG00000196562","protein_coding","chr20:47656348-47786616","50","2.22","yes","no","no","2","-","no","no","no","0","no","no","Q8IWU5","1","1.22","ENSMUSG00000006800","chr2:166073089-166155663","Sulf2","13","yes","gene with protein product","55959"
"34","DRAM1","DRAM1","DNA damage regulated autophagy modulator 1","protein-coding gene","ENSG00000136048","protein_coding","chr12:101877580-102012130","50","1.14","yes","yes","no","1","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000020057","chr10:88322804-88379080","Dram1","4","no","gene with protein product","55332"
"35","IKBIP","IKBIP","IKBKB interacting protein","protein-coding gene","ENSG00000166130","protein_coding","chr12:98613405-98645113","50","1.13","yes","yes","no","3","G1/S","no","no","no","6","no","yes","Q70UQ0","4","0.73","-","-","-","-","-","gene with protein product","121457"
"36","ASCC3","ASCC3","activating signal cointegrator 1 complex subunit 3","protein-coding gene","ENSG00000112249","protein_coding","chr6:100508194-100881372","50","0.87","yes","yes","no","3","G1/S","no","no","no","8","yes","yes","Q8N3C0","5","0.65","ENSMUSG00000038774","chr10:50592669-50851485","Ascc3","-3","no","gene with protein product","10973"
"37","PGPEP1","PGPEP1","pyroglutamyl-peptidase I","protein-coding gene","ENSG00000130517","protein_coding","chr19:18340598-18369950","50","0.86","no","yes","no","2","-","no","no","no","-9","no","yes","Q9NXJ5","4","1.11","ENSMUSG00000056204","chr8:70646435-70660388","Pgpep1","3","no","gene with protein product","54858"
"38","STAT3","STAT3","signal transducer and activator of transcription 3","protein-coding gene","ENSG00000168610","protein_coding","chr17:42313324-42388540","50","0.75","yes","yes","no","3","G2/M","no","no","no","-5","no","yes","P40763","3","0.31","ENSMUSG00000004040","chr11:100885098-100939540","Stat3","-2","no","gene with protein product","6774"
"39","PHLDA3","PHLDA3","pleckstrin homology like domain family A member 3","protein-coding gene","ENSG00000174307","protein_coding","chr1:201464278-201469237","49","1.58","yes","yes","no","2","-","no","no","no","2","no","no","Q9Y5J5","4","1.88","ENSMUSG00000041801","chr1:135766119-135769136","Phlda3","11","yes","gene with protein product","23612"
"40","ASTN2","ASTN2","astrotactin 2","protein-coding gene","ENSG00000148219","protein_coding","chr9:116425225-117415070","49","1.3","yes","yes","no","2","-","no","no","no","-6","no","yes","-","-","-","ENSMUSG00000028373","chr4:65380803-66404611","Astn2","2","no","gene with protein product","23245"
"41","PRKX","PRKX","protein kinase cAMP-dependent X-linked catalytic subunit","protein-coding gene","ENSG00000183943","protein_coding","chrX:3604340-3713649","49","0.91","yes","yes","no","1","-","no","no","no","5","no","no","-","-","-","ENSMUSG00000035725","chrX:77761411-77796278","Prkx","-1","no","gene with protein product","5613"
"42","TMEM68","TMEM68","transmembrane protein 68","protein-coding gene","ENSG00000167904","protein_coding","chr8:55696424-55773407","49","0.84","yes","yes","no","2","-","no","no","no","3","no","yes","Q96MH6","1","0.80","ENSMUSG00000028232","chr4:3549041-3574853","Tmem68","3","no","gene with protein product","137695"
"43","NTPCR","NTPCR","nucleoside-triphosphatase, cancer-related","protein-coding gene","ENSG00000135778","protein_coding","chr1:232950605-232983882","49","0.8","yes","no","no","2","-","no","no","no","1","no","no","Q9BSD7","5","0.57","ENSMUSG00000031851","chr8:125729963-125748235","Ntpcr","0","no","gene with protein product","84284"
"44","DCP1B","DCP1B","decapping mRNA 1B","protein-coding gene","ENSG00000151065","protein_coding","chr12:1946053-2004535","49","0.72","yes","yes","no","1","-","no","no","no","-2","no","no","Q8IZD4","4","0.45","ENSMUSG00000041477","chr6:119175253-119221616","Dcp1b","0","no","gene with protein product","196513"
"45","APOBEC3C","APOBEC3C","apolipoprotein B mRNA editing enzyme catalytic subunit 3C","protein-coding gene","ENSG00000244509","protein_coding","chr22:39014257-39020352","48","1.49","yes","yes","no","2","-","no","no","no","4","no","no","Q9NRW3","4","1.14","-","-","-","-","-","gene with protein product","27350"
"46","PIDD1","PIDD1","p53-induced death domain protein 1","protein-coding gene","ENSG00000177595","protein_coding","chr11:799179-809753","48","1.17","yes","yes","no","1","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000025507","chr7:141438113-141444025","Pidd1","14","yes","gene with protein product","55367"
"47","INPP1","INPP1","inositol polyphosphate-1-phosphatase","protein-coding gene","ENSG00000151689","protein_coding","chr2:190343570-190371665","48","0.98","yes","no","no","0","-","no","no","no","10","yes","yes","P49441","4","0.49","ENSMUSG00000026102","chr1:52785427-52817688","Inpp1","6","no","gene with protein product","3628"
"48","SLC30A1","SLC30A1","solute carrier family 30 member 1","protein-coding gene","ENSG00000170385","protein_coding","chr1:211571568-211579161","48","0.95","yes","no","no","2","-","no","no","no","0","no","no","Q9Y6M5","4","0.59","ENSMUSG00000037434","chr1:191906767-191913247","Slc30a1","-1","no","gene with protein product","7779"
"49","SERTAD1","SERTAD1","SERTA domain containing 1","protein-coding gene","ENSG00000197019","protein_coding","chr19:40421589-40425992","48","0.9","yes","yes","no","2","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000008384","chr7:27486910-27490316","Sertad1","3","no","gene with protein product","29950"
"50","TM7SF3","TM7SF3","transmembrane 7 superfamily member 3","protein-coding gene","ENSG00000064115","protein_coding","chr12:26971579-27014434","48","0.6","yes","no","no","3","G1/S","no","no","no","1","no","no","-","-","-","ENSMUSG00000040234","chr6:146602352-146642824","Tm7sf3","5","no","gene with protein product","51768"
"51","PLCXD2","PLCXD2","phosphatidylinositol specific phospholipase C X domain containing 2","protein-coding gene","ENSG00000240891","protein_coding","chr3:111674676-111846447","47","1.12","yes","no","yes","2","-","no","no","no","1","no","no","-","-","-","ENSMUSG00000087141","chr16:45959263-46010218","Plcxd2","6","no","gene with protein product","257068"
"52","HSPA4L","HSPA4L","heat shock protein family A (Hsp70) member 4 like","protein-coding gene","ENSG00000164070","protein_coding","chr4:127781821-127840733","47","1.04","yes","yes","no","1","-","no","no","no","8","yes","yes","O95757","4","0.85","ENSMUSG00000025757","chr3:40745382-40796103","Hspa4l","-6","no","gene with protein product","22824"
"53","RALGDS","RALGDS","ral guanine nucleotide dissociation stimulator","protein-coding gene","ENSG00000160271","protein_coding","chr9:133097720-133149334","47","0.98","no","yes","no","1","-","no","no","no","1","no","no","-","-","-","-","-","-","-","-","gene with protein product","5900"
"54","TMEM63B","TMEM63B","transmembrane protein 63B","protein-coding gene","ENSG00000137216","protein_coding","chr6:44126914-44155519","47","0.92","yes","no","no","2","-","no","no","no","-1","no","no","Q5T3F8","4","0.78","ENSMUSG00000036026","chr17:45660171-45686905","Tmem63b","15","yes","gene with protein product","55362"
"55","AEN","AEN","apoptosis enhancing nuclease","protein-coding gene","ENSG00000181026","protein_coding","chr15:88621337-88632281","47","0.83","yes","no","no","5","G2/M","yes","no","no","2","no","no","-","-","-","ENSMUSG00000030609","chr7:78895854-78911209","Aen","14","yes","gene with protein product","64782"
"56","LRP10","LRP10","LDL receptor related protein 10","protein-coding gene","ENSG00000197324","protein_coding","chr14:22871740-22881713","47","0.72","yes","no","no","3","G1/S","no","no","no","1","no","no","Q7Z4F1","2","0.91","ENSMUSG00000022175","chr14:54464137-54471497","Lrp10","3","no","gene with protein product","26020"
"57","BAX","BAX","BCL2 associated X, apoptosis regulator","protein-coding gene","ENSG00000087088","protein_coding","chr19:48954815-48961798","46","1","yes","no","no","2","-","no","no","no","-2","no","no","Q07812","5","0.82","ENSMUSG00000003873","chr7:45461697-45466898","Bax","12","yes","gene with protein product","581"
"58","PLXNB2","PLXNB2","plexin B2","protein-coding gene","ENSG00000196576","protein_coding","chr22:50274979-50307646","46","0.79","yes","yes","no","3","G1/S","no","no","no","-9","no","yes","O15031","5","0.49","ENSMUSG00000036606","chr15:89155549-89180788","Plxnb2","8","yes","gene with protein product","23654"
"59","GASK1B","GASK1B","golgi associated kinase 1B","protein-coding gene","ENSG00000164125","protein_coding","chr4:158124474-158173318","45","1.53","yes","yes","no","2","-","no","no","no","0","no","no","-","-","-","ENSMUSG00000027955","chr3:79884533-79946280","Fam198b","4","no","gene with protein product","51313"
"60","CDIP1","CDIP1","cell death inducing p53 target 1","protein-coding gene","ENSG00000089486","protein_coding","chr16:4510669-4538828","45","1.24","yes","yes","no","3","G2/M","no","no","no","3","no","no","-","-","-","ENSMUSG00000004071","chr16:4750348-4790292","Cdip1","7","no","gene with protein product","29965"
"61","CD82","CD82","CD82 molecule","protein-coding gene","ENSG00000085117","protein_coding","chr11:44564427-44620358","45","1.2","yes","yes","no","1","-","no","no","no","5","no","yes","P27701","2","0.43","ENSMUSG00000027215","chr2:93419111-93463140","Cd82","4","no","gene with protein product","3732"
"62","CCNG1","CCNG1","cyclin G1","protein-coding gene","ENSG00000113328","protein_coding","chr5:163437569-163446151","45","0.77","yes","no","no","3","G2/M","no","no","no","-1","no","no","-","-","-","ENSMUSG00000020326","chr11:40748552-40755311","Ccng1","13","yes","gene with protein product","900"
"63","ABCA12","ABCA12","ATP binding cassette subfamily A member 12","protein-coding gene","ENSG00000144452","protein_coding","chr2:214931542-215138626","44","3.37","yes","no","no","2","-","no","no","no","4","no","yes","Q86UK0","1","1.77","ENSMUSG00000050296","chr1:71242276-71414910","Abca12","1","no","gene with protein product","26154"
"64","PGF","PGF","placental growth factor","protein-coding gene","ENSG00000119630","protein_coding","chr14:74941834-74955626","44","1.28","yes","no","no","1","-","no","no","no","5","no","yes","-","-","-","ENSMUSG00000004791","chr12:85166635-85177790","Pgf","7","no","gene with protein product","5228"
"65","PARD6G","PARD6G","par-6 family cell polarity regulator gamma","protein-coding gene","ENSG00000178184","protein_coding","chr18:80157232-80247514","44","1.12","yes","yes","no","3","G1/S","no","no","no","6","no","yes","Q9BYG4","1","1.17","ENSMUSG00000056214","chr18:80046890-80119639","Pard6g","12","yes","gene with protein product","84552"
"66","MAST4","MAST4","microtubule associated serine/threonine kinase family member 4","protein-coding gene","ENSG00000069020","protein_coding","chr5:66596361-67169595","44","1.07","yes","no","no","1","-","no","no","no","8","yes","yes","O15021","1","0.54","ENSMUSG00000034751","chr13:102732486-103334497","Mast4","3","no","gene with protein product","375449"
"67","ARVCF","ARVCF","ARVCF delta catenin family member","protein-coding gene","ENSG00000099889","protein_coding","chr22:19969896-20016823","44","1.06","yes","yes","no","2","-","no","no","no","1","no","no","O00192","4","1.05","-","-","-","-","-","gene with protein product","421"
"68","NINJ1","NINJ1","ninjurin 1","protein-coding gene","ENSG00000131669","protein_coding","chr9:93121496-93134251","44","0.94","yes","yes","no","3","G1/S","no","no","no","-2","no","no","Q92982","2","1.12","ENSMUSG00000037966","chr13:49187485-49196244","Ninj1","11","yes","gene with protein product","4814"
"69","PRKAB1","PRKAB1","protein kinase AMP-activated non-catalytic subunit beta 1","protein-coding gene","ENSG00000111725","protein_coding","chr12:119667864-119681624","44","0.9","yes","yes","no","2","-","no","no","no","0","no","no","Q9Y478","4","0.40","ENSMUSG00000029513","chr5:116013586-116024508","Prkab1","1","no","gene with protein product","5564"
"70","TRAF4","TRAF4","TNF receptor associated factor 4","protein-coding gene","ENSG00000076604","protein_coding","chr17:28744005-28750956","44","0.86","yes","yes","no","1","-","no","no","no","-4","no","yes","-","-","-","ENSMUSG00000017386","chr11:78158499-78165589","Traf4","13","yes","gene with protein product","9618"
"71","PRKAB2","PRKAB2","protein kinase AMP-activated non-catalytic subunit beta 2","protein-coding gene","ENSG00000131791","protein_coding","chr1:147155106-147172550","44","0.69","yes","yes","no","2","-","no","no","no","4","no","yes","O43741","3","0.53","ENSMUSG00000038205","chr3:97658193-97673812","Prkab2","-5","no","gene with protein product","5565"
"72","RABGGTA","RABGGTA","Rab geranylgeranyltransferase subunit alpha","protein-coding gene","ENSG00000100949","protein_coding","chr14:24265538-24271739","44","0.59","yes","no","no","1","-","no","no","no","3","no","yes","Q92696","3","0.45","ENSMUSG00000040472","chr14:55715416-55722263","Rabggta","1","no","gene with protein product","5875"
"73","ORAI3","ORAI3","ORAI calcium release-activated calcium modulator 3","protein-coding gene","ENSG00000175938","protein_coding","chr16:30949068-30956461","43","1.15","yes","no","no","2","-","no","no","no","-3","no","yes","-","-","-","ENSMUSG00000043964","chr7:127769815-127775150","Orai3","4","no","gene with protein product","93129"
"74","ATF3","ATF3","activating transcription factor 3","protein-coding gene","ENSG00000162772","protein_coding","chr1:212565334-212620777","43","1.08","yes","yes","no","3","G1/S","no","no","no","1","no","no","-","-","-","ENSMUSG00000026628","chr1:191170296-191218039","Atf3","3","no","gene with protein product","467"
"75","PLK2","PLK2","polo like kinase 2","protein-coding gene","ENSG00000145632","protein_coding","chr5:58453982-58460139","43","1.06","yes","no","no","4","G2/M","no","no","no","-2","no","no","-","-","-","ENSMUSG00000021701","chr13:110395046-110400844","Plk2","8","yes","gene with protein product","10769"
"76","LIF","LIF","LIF interleukin 6 family cytokine","protein-coding gene","ENSG00000128342","protein_coding","chr22:30240453-30246759","43","0.99","yes","no","no","2","-","no","no","no","-2","no","no","-","-","-","ENSMUSG00000034394","chr11:4257557-4272514","Lif","11","yes","gene with protein product","3976"
"77","RTL5","RTL5","retrotransposon Gag like 5","protein-coding gene","ENSG00000242732","protein_coding","chrX:72127110-72131901","43","0.99","no","yes","no","1","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000049191","chrX:102066544-102071304","Rgag4","0","no","gene with protein product","340526"
"78","EPHA2","EPHA2","EPH receptor A2","protein-coding gene","ENSG00000142627","protein_coding","chr1:16124337-16156069","43","0.91","no","yes","no","3","G1/S","no","no","no","0","no","no","P29317","3","0.63","ENSMUSG00000006445","chr4:141301240-141329384","Epha2","11","yes","gene with protein product","1969"
"79","CEP85L","CEP85L","centrosomal protein 85L","protein-coding gene","ENSG00000111860","protein_coding","chr6:118460772-118710075","43","0.89","yes","yes","no","1","-","no","no","no","-1","no","no","-","-","-","ENSMUSG00000038594","chr10:53273443-53379947","Cep85l","0","no","gene with protein product","387119"
"80","PVT1","PVT1","Pvt1 oncogene","non-coding RNA","ENSG00000249859","lncRNA","chr8:127794526-128187101","43","0.87","yes","yes","no","2","-","no","no","no","-","-","-","-","-","-","-","-","-","-","-","RNA, long non-coding","5820"
"81","FADS3","FADS3","fatty acid desaturase 3","protein-coding gene","ENSG00000221968","protein_coding","chr11:61873519-61892051","43","0.77","yes","no","no","2","-","no","no","no","4","no","yes","Q9Y5Q0","1","0.70","ENSMUSG00000024664","chr19:10041569-10060110","Fads3","-4","no","gene with protein product","3995"
"82","SLC4A11","SLC4A11","solute carrier family 4 member 11","protein-coding gene","ENSG00000088836","protein_coding","chr20:3227417-3239559","43","0.66","yes","no","no","2","-","no","no","no","2","no","no","-","-","-","ENSMUSG00000074796","chr2:130684113-130697519","Slc4a11","13","yes","gene with protein product","83959"
"83","YBX3","YBX3","Y-box binding protein 3","protein-coding gene","ENSG00000060138","protein_coding","chr12:10699089-10723323","43","0.53","yes","no","no","2","-","no","no","no","3","no","yes","P16989","2","0.21","ENSMUSG00000030189","chr6:131364855-131388476","Ybx3","-2","no","gene with protein product","8531"
"84","NECTIN4","NECTIN4","nectin cell adhesion molecule 4","protein-coding gene","ENSG00000143217","protein_coding","chr1:161070998-161089558","42","2.97","yes","no","no","2","-","no","no","no","-3","no","yes","Q96NY8","0","0.21","ENSMUSG00000006411","chr1:171370099-171388598","Pvrl4","5","no","gene with protein product","81607"
"85","ELAPOR1","ELAPOR1","endosome-lysosome associated apoptosis and autophagy regulator 1","protein-coding gene","ENSG00000116299","protein_coding","chr1:109113679-109206781","42","1.2","yes","yes","no","1","-","no","no","no","0","no","no","Q6UXG2","-1","-0.26","ENSMUSG00000040412","chr3:108455694-108536536","5330417C22Rik","2","no","gene with protein product","57535"
"86","ZNF385A","ZNF385A","zinc finger protein 385A","protein-coding gene","ENSG00000161642","protein_coding","chr12:54369133-54391298","42","0.95","yes","yes","no","1","-","no","no","no","7","no","yes","Q96PM9","3","0.50","-","-","-","-","-","gene with protein product","25946"
"87","TMBIM1","TMBIM1","transmembrane BAX inhibitor motif containing 1","protein-coding gene","ENSG00000135926","protein_coding","chr2:218274197-218292586","42","0.54","yes","yes","no","1","-","no","no","no","4","no","yes","-","-","-","ENSMUSG00000006301","chr1:74288247-74305622","Tmbim1","10","yes","gene with protein product","64114"
"88","GBE1","GBE1","1,4-alpha-glucan branching enzyme 1","protein-coding gene","ENSG00000114480","protein_coding","chr3:81489703-81761645","42","0.52","yes","yes","no","2","-","no","no","no","-5","no","yes","Q04446","5","0.71","ENSMUSG00000022707","chr16:70313949-70569716","Gbe1","0","no","gene with protein product","2632"
"89","TAB3","TAB3","TGF-beta activated kinase 1 (MAP3K7) binding protein 3","protein-coding gene","ENSG00000157625","protein_coding","chrX:30827442-30975084","42","0.49","no","yes","no","2","-","no","no","no","4","no","yes","-","-","-","ENSMUSG00000035476","chrX:85574022-85634469","Tab3","0","no","gene with protein product","257397"
"90","ABHD4","ABHD4","abhydrolase domain containing 4, N-acyl phospholipase B","protein-coding gene","ENSG00000100439","protein_coding","chr14:22598237-22613215","41","0.95","no","yes","no","4","G1/S","no","no","no","-3","no","yes","-","-","-","ENSMUSG00000040997","chr14:54254188-54270637","Abhd4","14","yes","gene with protein product","63874"
